ts_norm1 G1 Narrow {Start Time of Norm. Analysis} [Europe/London],Δt_norm1 G1 Narrow/s {Duration of Norm. Analysis},U_trms1 G2 Wide/V {RMS of U},U_trms2 G2 Wide/V {RMS of U},U_trms3 G2 Wide/V {RMS of U},I_trms1 G2 Wide/A {RMS of I},I_trms2 G2 Wide/A {RMS of I},I_trms3 G2 Wide/A {RMS of I},I_dc1 G1 Wide/A {DC Value of I},U_dc1 G1 Wide/V {DC Value of U},P_AC_{scr},P_DC_{scr},P_mech_{scr},SPEED_{scr},Speed,Torque_{scr},Loss_inv_{scr},Loss_mtr_{scr},Loss_sys_{scr},Eff_sys_{scr},Eff_mtr_{scr}
44301.8,5.56,0.38,0.12,0.3,1.96,0.85,0.81,-0.22,223.44,0.01,-49.92,0,0,0,0.32,-49.93,0.02,-51.6,0,0.1
44301.8,5.56,0.38,0.12,0.3,1.96,0.85,0.81,-0.23,223.5,0.01,-50.28,0,0,0,0.32,-50.29,0.02,-51.6,0,0.1
44301.8,5.56,0.38,0.12,0.3,1.97,0.85,0.81,-0.23,223.43,0.01,-50.44,0,0,0,0.32,-50.45,0.02,-51.6,0,0.1
44301.8,5.56,0.38,0.12,0.3,1.97,0.85,0.81,-0.22,223.44,0.01,-48.05,0,0,0,0.32,-48.06,0.02,-51.6,0,0.1
44301.8,5.56,0.38,0.12,0.3,1.97,0.85,0.8,-0.23,223.5,0.01,-52.33,0,0,0,0.32,-52.34,0.02,-51.6,0,0.1
44301.8,5.56,0.38,0.12,0.3,1.97,0.85,0.8,-0.23,223.42,0.01,-51.52,0,0,0,0.32,-51.52,0.02,-51.6,0,0.1
44301.8,5.56,0.38,0.12,0.3,1.97,0.85,0.81,-0.22,223.46,0.01,-49.74,0,0,0,0.32,-49.75,0.02,-51.6,0,0.1
44301.8,5.56,0.38,0.12,0.3,1.97,0.85,0.8,-0.22,223.47,0.01,-49.79,0,0,0,0.32,-49.79,0.02,-51.6,0,0.1
44301.8,5.56,0.37,0.12,0.29,1.97,0.84,0.81,-0.21,223.41,0.01,-47.5,0,0,0,0.32,-47.51,0.02,-51.6,0,0.1
44301.8,5.56,0.36,0.12,0.28,1.97,0.85,0.81,-0.22,223.46,0.01,-48.66,0,0,0,0.31,-48.66,0.02,-51.6,0,0.1
44301.8,5.56,0.38,0.13,0.3,6.35,1.59,1.15,-0.23,223.46,0.02,-51.6,0,0,0,0.2,-51.62,0.02,-51.6,0,0.1
44301.8,5.56,26.2,26.08,26.22,10.71,7.88,6.86,-0.07,223.43,9.91,-15.4,-45.96,0,-193.5,2.27,-25.31,55.87,30.56,33.51,21.57
44301.8,1.51,34.51,34.26,34.42,9.39,5.34,4.68,-0.03,223.6,16.07,-6.1,-136.87,0,-497.96,2.62,-22.17,152.94,130.77,4.46,11.74
44301.8,0.02,34.25,34.41,34.2,43.61,42.11,40.48,-4.84,224.91,-1316.7,-1088.04,-1847.86,0,-487.19,36.22,228.66,531.16,759.82,58.88,71.26
44301.8,0.02,34.63,35.09,34.91,43.19,42.5,40.46,-5.04,224.91,-1363.45,-1134.83,-1792.07,0,-500.58,34.19,228.62,428.61,657.23,63.33,76.08
44301.8,0.02,34.71,34.83,34.45,43.74,42.11,40.15,-5.01,224.74,-1348.47,-1125.82,-1447.04,0,-509.6,27.12,222.65,98.57,321.22,77.8,93.19
44301.8,0.02,34.36,34.83,34.38,43.6,42.27,40.23,-4.98,224.3,-1332.38,-1116.43,-1494.35,0,-497.01,28.71,215.95,161.96,377.92,74.71,89.16
44301.8,0.02,34.25,34.56,34.34,43.51,42.22,40.43,-4.95,223.79,-1337.07,-1109.34,-1564.66,0,-495.11,30.18,227.73,227.59,455.32,70.9,85.45
44301.8,0.02,34.39,34.61,34.31,43.73,42.13,40.38,-5,223.44,-1343.7,-1118.43,-1517.28,0,-505.1,28.69,225.27,173.58,398.86,73.71,88.56
